"site_code","date","tmp_degrees_Celsius","plotdate","month","year"
"gcnura.cn","Mar/16/1981",1.80000007152557,1981-03-16,"Mar",1981
"gcnxil.cn","Mar/16/1981",-5.59999990463257,1981-03-16,"Mar",1981
"gcnyan.cn","Mar/16/1981",3.10000014305115,1981-03-16,"Mar",1981
"gcnyou.cn","Mar/16/1981",0.600000023841858,1981-03-16,"Mar",1981
"gilb.za","Mar/16/1981",18.3000011444092,1981-03-16,"Mar",1981
"glac.us","Mar/16/1981",7.5,1981-03-16,"Mar",1981
"glcr.us","Mar/16/1981",5.09999990463257,1981-03-16,"Mar",1981
"hall.us","Mar/16/1981",7.5,1981-03-16,"Mar",1981
"hart.us","Mar/16/1981",3.40000009536743,1981-03-16,"Mar",1981
"hast.us","Mar/16/1981",10.1000003814697,1981-03-16,"Mar",1981
"hero.uk","Mar/16/1981",7.90000009536743,1981-03-16,"Mar",1981
"hnvr.us","Mar/16/1981",0,1981-03-16,"Mar",1981
"hogone.us","Mar/16/1981",7,1981-03-16,"Mar",1981
"hogtwo.us","Mar/16/1981",7,1981-03-16,"Mar",1981
"hopl.us","Mar/16/1981",8.90000057220459,1981-03-16,"Mar",1981
"hustai.mn","Mar/16/1981",-6.70000028610229,1981-03-16,"Mar",1981
"jasp.us","Mar/16/1981",11.6999998092651,1981-03-16,"Mar",1981
"jena.de","Mar/16/1981",6.59999990463257,1981-03-16,"Mar",1981
"jorn.us","Mar/16/1981",8,1981-03-16,"Mar",1981
"kark.se","Mar/16/1981",-17.2000007629395,1981-03-16,"Mar",1981
"kbs.us","Mar/16/1981",2.5,1981-03-16,"Mar",1981
"kibber.in","Mar/16/1981",-7.09999990463257,1981-03-16,"Mar",1981
"kidman.au","Mar/16/1981",29,1981-03-16,"Mar",1981
"kilp.fi","Mar/16/1981",-17.8999996185303,1981-03-16,"Mar",1981
"kiny.au","Mar/16/1981",18,1981-03-16,"Mar",1981
"kirik.ee","Mar/16/1981",-3.90000009536743,1981-03-16,"Mar",1981
"koffler.ca","Mar/16/1981",-1,1981-03-16,"Mar",1981
"konz.us","Mar/16/1981",8,1981-03-16,"Mar",1981
"konzn1b.us","Mar/16/1981",8,1981-03-16,"Mar",1981
"lagoas.br","Mar/16/1981",27.1000003814697,1981-03-16,"Mar",1981
"lake.us","Mar/16/1981",2.79999995231628,1981-03-16,"Mar",1981
"lakta.se","Mar/16/1981",-16.7000007629395,1981-03-16,"Mar",1981
