"sitename","tmp_degrees_Celsius","plotdate","pre_mm/month","Month"
"sirsi.in",26.6000003814697,1981-03-16,11.3000001907349,3
"smith.us",8.10000038146973,1981-03-16,136.800003051758,3
"spin.us",5.30000019073486,1981-03-16,51,3
"spv.ar",16.1000003814697,1981-03-16,31.8000011444092,3
"summ.za",21.6000003814697,1981-03-16,45.1000022888184,3
"sval.no",-21.3999996185303,1981-03-16,21.3000011444092,3
"temple.us",14.1000003814697,1981-03-16,93.3000030517578,3
"thth.is",-5.40000009536743,1981-03-16,111.599998474121,3
"tmlr.is",-5.40000009536743,1981-03-16,111.599998474121,3
"trel.us",5,1981-03-16,29,3
"tyso.us",7.30000019073486,1981-03-16,59.7999992370605,3
"ucsc.us",11.4000005722046,1981-03-16,114.900001525879,3
"ufrec.us",18.3000011444092,1981-03-16,33.7999992370605,3
"ukul.za",19.1000003814697,1981-03-16,56.6000022888184,3
"unc.us",7.20000028610229,1981-03-16,61.2999992370605,3
"uwo.ca",-0.5,1981-03-16,44.5,3
"valm.ch",-4.70000028610229,1981-03-16,293.600006103516,3
"vaqu.mx",15.6000003814697,1981-03-16,15.6000003814697,3
"varexp.no",-13.1999998092651,1981-03-16,54.5,3
"vargrass.no",-13.1000003814697,1981-03-16,65.7000045776367,3
"varheath.no",-13.1000003814697,1981-03-16,65.7000045776367,3
"vass.se",-17.2000007629395,1981-03-16,74.2000045776367,3
"wupatki.us",13.1999998092651,1981-03-16,59.6000022888184,3
"xilin.cn",-5.59999990463257,1981-03-16,13.9000005722046,3
"yarra.au",20.8000011444092,1981-03-16,26.8999996185303,3
"abisko.se",-6.40000009536743,1981-04-16,48.7999992370605,4
"ahth.is",1.80000007152557,1981-04-16,53,4
"amcamp.us",8.19999980926514,1981-04-16,228.600006103516,4
"amlr.is",1.80000007152557,1981-04-16,53,4
"anti.ec",11.8000001907349,1981-04-16,97.5,4
"arch.us",23.3999996185303,1981-04-16,4.40000009536743,4
"azi.cn",2.20000004768372,1981-04-16,34,4
"azitwo.cn",2.20000004768372,1981-04-16,34,4
"badlau.de",8.19999980926514,1981-04-16,36.4000015258789,4
"bari.ar",8,1981-04-16,70.0999984741211,4
"barta.us",12.4000005722046,1981-04-16,17,4
"bayr.de",7.59999990463257,1981-04-16,33.4000015258789,4
"bldr.us",8.69999980926514,1981-04-16,21.5,4
"bnbt.us",17,1981-04-16,54.6000022888184,4
"bnch.us",4.30000019073486,1981-04-16,54.9000015258789,4
"bogong.au",11.3000001907349,1981-04-16,18.8000011444092,4
"bttr.us",4.30000019073486,1981-04-16,54.9000015258789,4
"bunya.au",19.2000007629395,1981-04-16,110.599998474121,4
"burrawan.au",20,1981-04-16,101.800003051758,4
"burren.ie",8.5,1981-04-16,31.3000011444092,4
"bynb.cn",1.30000007152557,1981-04-16,42.2000007629395,4
"cbgb.us",13.4000005722046,1981-04-16,93.2000045776367,4
"cdcr.us",8.80000019073486,1981-04-16,78.0999984741211,4
"cdpt.us",13,1981-04-16,62.7000007629395,4
"cereep.fr",11.1000003814697,1981-04-16,28.3999996185303,4
"chilcas.ar",15.6999998092651,1981-04-16,40.7000007629395,4
"comp.pt",14.1999998092651,1981-04-16,79.7000045776367,4
"cowi.ca",7.59999990463257,1981-04-16,150.900009155273,4
"derr.au",15.9000005722046,1981-04-16,13.4000005722046,4
"doane.us",15.1000003814697,1981-04-16,41.9000015258789,4
"drake.za",15.6000003814697,1981-04-16,42.2000007629395,4
"elkh.us",13.4000005722046,1981-04-16,20.2000007629395,4
"elliot.us",17.5,1981-04-16,14.3000001907349,4
"elva.ee",2.60000014305115,1981-04-16,25.2000007629395,4
"ethamc.au",24.8999996185303,1981-04-16,2.10000014305115,4
"ethass.au",24.8999996185303,1981-04-16,2.10000014305115,4
"fnly.us",10.1999998092651,1981-04-16,83.4000015258789,4
