"site_code","date","pre_mm/month","plotdate","month","year"
"sier.us","Feb/15/2001",214.900009155273,2001-02-15,"Feb",2001
"sirsi.in","Feb/15/2001",0,2001-02-15,"Feb",2001
"smith.us","Feb/15/2001",113,2001-02-15,"Feb",2001
"spin.us","Feb/15/2001",86.4000015258789,2001-02-15,"Feb",2001
"spv.ar","Feb/15/2001",10.9000005722046,2001-02-15,"Feb",2001
"summ.za","Feb/15/2001",85.4000015258789,2001-02-15,"Feb",2001
"sval.no","Feb/15/2001",21.5,2001-02-15,"Feb",2001
"temple.us","Feb/15/2001",77.2000045776367,2001-02-15,"Feb",2001
"thth.is","Feb/15/2001",43.9000015258789,2001-02-15,"Feb",2001
"tmlr.is","Feb/15/2001",43.9000015258789,2001-02-15,"Feb",2001
"trel.us","Feb/15/2001",86.5999984741211,2001-02-15,"Feb",2001
"tyso.us","Feb/15/2001",84.5,2001-02-15,"Feb",2001
"ucsc.us","Feb/15/2001",124.400001525879,2001-02-15,"Feb",2001
"ufrec.us","Feb/15/2001",8.69999980926514,2001-02-15,"Feb",2001
"ukul.za","Feb/15/2001",83.4000015258789,2001-02-15,"Feb",2001
"unc.us","Feb/15/2001",61.2000007629395,2001-02-15,"Feb",2001
"uwo.ca","Feb/15/2001",93.5999984741211,2001-02-15,"Feb",2001
"valm.ch","Feb/15/2001",183,2001-02-15,"Feb",2001
"vaqu.mx","Feb/15/2001",2.20000004768372,2001-02-15,"Feb",2001
"varexp.no","Feb/15/2001",49.1000022888184,2001-02-15,"Feb",2001
"vargrass.no","Feb/15/2001",60.9000015258789,2001-02-15,"Feb",2001
"varheath.no","Feb/15/2001",60.9000015258789,2001-02-15,"Feb",2001
"vass.se","Feb/15/2001",86,2001-02-15,"Feb",2001
"wupatki.us","Feb/15/2001",41.1000022888184,2001-02-15,"Feb",2001
"xilin.cn","Feb/15/2001",1.20000004768372,2001-02-15,"Feb",2001
"yarra.au","Feb/15/2001",122.200004577637,2001-02-15,"Feb",2001
"abisko.se","Mar/16/2001",27,2001-03-16,"Mar",2001
"ahth.is","Mar/16/2001",30.8000011444092,2001-03-16,"Mar",2001
"amcamp.us","Mar/16/2001",203.800003051758,2001-03-16,"Mar",2001
"amlr.is","Mar/16/2001",30.8000011444092,2001-03-16,"Mar",2001
"anti.ec","Mar/16/2001",61.7000007629395,2001-03-16,"Mar",2001
"arch.us","Mar/16/2001",103.599998474121,2001-03-16,"Mar",2001
"azi.cn","Mar/16/2001",16.8999996185303,2001-03-16,"Mar",2001
"azitwo.cn","Mar/16/2001",16.8999996185303,2001-03-16,"Mar",2001
"badlau.de","Mar/16/2001",58,2001-03-16,"Mar",2001
"bari.ar","Mar/16/2001",53.7999992370605,2001-03-16,"Mar",2001
"barta.us","Mar/16/2001",13,2001-03-16,"Mar",2001
"bayr.de","Mar/16/2001",100.400001525879,2001-03-16,"Mar",2001
"bldr.us","Mar/16/2001",37.2000007629395,2001-03-16,"Mar",2001
"bnbt.us","Mar/16/2001",61.7000007629395,2001-03-16,"Mar",2001
"bnch.us","Mar/16/2001",66.3000030517578,2001-03-16,"Mar",2001
"bogong.au","Mar/16/2001",64.2000045776367,2001-03-16,"Mar",2001
"bttr.us","Mar/16/2001",66.3000030517578,2001-03-16,"Mar",2001
"bunya.au","Mar/16/2001",56.9000015258789,2001-03-16,"Mar",2001
"burrawan.au","Mar/16/2001",59.7000007629395,2001-03-16,"Mar",2001
"burren.ie","Mar/16/2001",81.4000015258789,2001-03-16,"Mar",2001
"bynb.cn","Mar/16/2001",2.90000009536743,2001-03-16,"Mar",2001
"cbgb.us","Mar/16/2001",40.5,2001-03-16,"Mar",2001
"cdcr.us","Mar/16/2001",26.3000011444092,2001-03-16,"Mar",2001
"cdpt.us","Mar/16/2001",16.3999996185303,2001-03-16,"Mar",2001
"cereep.fr","Mar/16/2001",124.599998474121,2001-03-16,"Mar",2001
"chilcas.ar","Mar/16/2001",181.800003051758,2001-03-16,"Mar",2001
"comp.pt","Mar/16/2001",163.900009155273,2001-03-16,"Mar",2001
"cowi.ca","Mar/16/2001",157.199996948242,2001-03-16,"Mar",2001
"derr.au","Mar/16/2001",65.4000015258789,2001-03-16,"Mar",2001
"doane.us","Mar/16/2001",34.2000007629395,2001-03-16,"Mar",2001
"drake.za","Mar/16/2001",60.1000022888184,2001-03-16,"Mar",2001
"elkh.us","Mar/16/2001",69.3000030517578,2001-03-16,"Mar",2001
"elliot.us","Mar/16/2001",28.6000003814697,2001-03-16,"Mar",2001
"elva.ee","Mar/16/2001",32.7000007629395,2001-03-16,"Mar",2001
"ethamc.au","Mar/16/2001",32.1000022888184,2001-03-16,"Mar",2001
"ethass.au","Mar/16/2001",32.1000022888184,2001-03-16,"Mar",2001
"fnly.us","Mar/16/2001",96.2000045776367,2001-03-16,"Mar",2001
"free.de","Mar/16/2001",141.5,2001-03-16,"Mar",2001
"frue.ch","Mar/16/2001",166.800003051758,2001-03-16,"Mar",2001
"gall.it","Mar/16/2001",108.900001525879,2001-03-16,"Mar",2001
"gcnban.cn","Mar/16/2001",0,2001-03-16,"Mar",2001
"gcndan.cn","Mar/16/2001",0,2001-03-16,"Mar",2001
"gcnhai.cn","Mar/16/2001",0.300000011920929,2001-03-16,"Mar",2001
"gcnhon.cn","Mar/16/2001",24.3999996185303,2001-03-16,"Mar",2001
"gcnhul.cn","Mar/16/2001",5.59999990463257,2001-03-16,"Mar",2001
"gcnnaq.cn","Mar/16/2001",4.40000009536743,2001-03-16,"Mar",2001
"gcnsui.cn","Mar/16/2001",7.90000009536743,2001-03-16,"Mar",2001
"gcnura.cn","Mar/16/2001",0.200000002980232,2001-03-16,"Mar",2001
"gcnxil.cn","Mar/16/2001",2.40000009536743,2001-03-16,"Mar",2001
"gcnyan.cn","Mar/16/2001",1.89999997615814,2001-03-16,"Mar",2001
"gcnyou.cn","Mar/16/2001",0.5,2001-03-16,"Mar",2001
"gilb.za","Mar/16/2001",50.1000022888184,2001-03-16,"Mar",2001
"glac.us","Mar/16/2001",130.900009155273,2001-03-16,"Mar",2001
"glcr.us","Mar/16/2001",29,2001-03-16,"Mar",2001
"hall.us","Mar/16/2001",66.5,2001-03-16,"Mar",2001
"hart.us","Mar/16/2001",18.5,2001-03-16,"Mar",2001
"hast.us","Mar/16/2001",142,2001-03-16,"Mar",2001
"hero.uk","Mar/16/2001",114.700004577637,2001-03-16,"Mar",2001
"hnvr.us","Mar/16/2001",162.5,2001-03-16,"Mar",2001
"hogone.us","Mar/16/2001",128.300003051758,2001-03-16,"Mar",2001
"hogtwo.us","Mar/16/2001",128.300003051758,2001-03-16,"Mar",2001
"hopl.us","Mar/16/2001",103,2001-03-16,"Mar",2001
"hustai.mn","Mar/16/2001",4.90000009536743,2001-03-16,"Mar",2001
"jasp.us","Mar/16/2001",53.1000022888184,2001-03-16,"Mar",2001
"jena.de","Mar/16/2001",80,2001-03-16,"Mar",2001
"jorn.us","Mar/16/2001",14,2001-03-16,"Mar",2001
"kark.se","Mar/16/2001",33.5,2001-03-16,"Mar",2001
"kbs.us","Mar/16/2001",19.3000011444092,2001-03-16,"Mar",2001
"kibber.in","Mar/16/2001",18.5,2001-03-16,"Mar",2001
"kidman.au","Mar/16/2001",268.100006103516,2001-03-16,"Mar",2001
"kilp.fi","Mar/16/2001",27.7000007629395,2001-03-16,"Mar",2001
"kiny.au","Mar/16/2001",27.7000007629395,2001-03-16,"Mar",2001
"kirik.ee","Mar/16/2001",28.8000011444092,2001-03-16,"Mar",2001
"koffler.ca","Mar/16/2001",56.1000022888184,2001-03-16,"Mar",2001
"konz.us","Mar/16/2001",53.1000022888184,2001-03-16,"Mar",2001
"konzn1b.us","Mar/16/2001",53.1000022888184,2001-03-16,"Mar",2001
"lagoas.br","Mar/16/2001",196.5,2001-03-16,"Mar",2001
"lake.us","Mar/16/2001",24.3999996185303,2001-03-16,"Mar",2001
"lakta.se","Mar/16/2001",27,2001-03-16,"Mar",2001
"lancaster.uk","Mar/16/2001",68.9000015258789,2001-03-16,"Mar",2001
"lead.us","Mar/16/2001",161.600006103516,2001-03-16,"Mar",2001
"look.us","Mar/16/2001",89.0999984741211,2001-03-16,"Mar",2001
"lubb.us","Mar/16/2001",63.2000007629395,2001-03-16,"Mar",2001
"marc.ar","Mar/16/2001",126.900001525879,2001-03-16,"Mar",2001
"mcdan.us","Mar/16/2001",109.599998474121,2001-03-16,"Mar",2001
